spec_version,spec_id,features,scenario,scenario_sign,year,horizon_from_2028,fiscal_action_cut_units_pp,Y_shortfall_pct,direct_discretionary_PB_level_pp,direct_DY_LP_margin_initial_action_pp,description
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2028,0,1.000000000,1.387360247,1.000000000,1.579392519,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2029,1,1.000000000,3.693095117,2.014543660,4.091553389,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2030,2,1.000000000,5.990435247,2.845923120,6.344407299,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2031,3,0.000000000,6.451742826,2.529563282,6.229140512,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2032,4,0.000000000,5.576465365,2.125880954,3.238211752,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2033,5,0.000000000,4.500436941,1.894178310,-0.345234006,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2034,6,0.000000000,3.949203751,1.791964723,-1.258558728,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2035,7,0.000000000,4.014300700,1.799659057,-0.408911117,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2036,8,0.000000000,4.631255007,1.894011588,1.729581956,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2028,0,-1.000000000,-1.387360247,-1.000000000,-1.579392519,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2029,1,-1.000000000,-3.693095117,-2.014543660,-4.091553389,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2030,2,-1.000000000,-5.990435247,-2.845923120,-6.344407299,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2031,3,-0.000000000,-6.451742826,-2.529563282,-6.229140512,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2032,4,-0.000000000,-5.576465365,-2.125880954,-3.238211752,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2033,5,-0.000000000,-4.500436941,-1.894178310,0.345234006,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2034,6,-0.000000000,-3.949203751,-1.791964723,1.258558728,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2035,7,-0.000000000,-4.014300700,-1.799659057,0.408911117,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2036,8,-0.000000000,-4.631255007,-1.894011588,-1.729581956,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2028,0,1.000000000,1.194279266,1.000000000,1.403954914,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2029,1,1.000000000,3.560135659,2.054161722,3.845517706,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2030,2,1.000000000,6.022269485,2.894803306,6.116545144,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2031,3,0.000000000,6.757108685,2.597225456,6.485028696,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2032,4,0.000000000,5.957881643,2.218659442,4.437934079,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2033,5,0.000000000,5.109458568,2.056280658,2.188123870,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2034,6,0.000000000,4.809499678,2.032224549,1.672885451,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2035,7,0.000000000,5.016668712,2.056292057,2.461165156,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2036,8,0.000000000,5.560901507,2.124036921,4.309319506,"Three 1 pp GDP public-investment cuts in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2028,0,-1.000000000,-1.194279266,-1.000000000,-1.403954914,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2029,1,-1.000000000,-3.560135659,-2.054161722,-3.845517706,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2030,2,-1.000000000,-6.022269485,-2.894803306,-6.116545144,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2031,3,-0.000000000,-6.757108685,-2.597225456,-6.485028696,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2032,4,-0.000000000,-5.957881643,-2.218659442,-4.437934079,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2033,5,-0.000000000,-5.109458568,-2.056280658,-2.188123870,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2034,6,-0.000000000,-4.809499678,-2.032224549,-1.672885451,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2035,7,-0.000000000,-5.016668712,-2.056292057,-2.461165156,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2036,8,-0.000000000,-5.560901507,-2.124036921,-4.309319506,"Three 1 pp GDP public-investment expansions in 2028, 2029 and 2030."
