name,source,dataset,url,downloaded_utc,source_updated,raw_json,csv,json_sha256,csv_sha256,rows,requested_end_year,actual_max_year,raw_csv,raw_sha256,status,source_modified_utc,node_id,bytes,source_size_bytes
nominal_gdp,Eurostat,nama_10_gdp,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&freq=A&unit=CP_MEUR&na_item=B1GQ&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=1995&time=1996&time=1997&time=1998&time=1999&time=2000&time=2001&time=2002&time=2003&time=2004&time=2005&time=2006&time=2007&time=2008&time=2009&time=2010&time=2011&time=2012&time=2013&time=2014&time=2015&time=2016&time=2017&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2026-05-14T07:21:45.978865+00:00,2026-05-13T23:00:00+0200,raw/nominal_gdp.json,raw/nominal_gdp.csv,d0f7ffd487fd26b85dd4489c92ce6d5ff0a637071790313e114c2a8d6e3cfdf4,42de16fa7653fee04a1e8671c5473a88a1311142cf0650f5a85e959af63a5c67,810,,,,,,,,,
gdp_pc_current_pps,Eurostat,nama_10_pc,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc?format=JSON&lang=en&freq=A&unit=CP_PPS_EU27_2020_HAB&na_item=B1GQ&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=1995&time=1996&time=1997&time=1998&time=1999&time=2000&time=2001&time=2002&time=2003&time=2004&time=2005&time=2006&time=2007&time=2008&time=2009&time=2010&time=2011&time=2012&time=2013&time=2014&time=2015&time=2016&time=2017&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2026-05-14T07:21:46.154670+00:00,2026-05-13T23:00:00+0200,raw/gdp_pc_current_pps.json,raw/gdp_pc_current_pps.csv,64fdb8610c2e26f33196ecae1d2f69010889aea04a6a7cc93a353ab07e2019bd,983e032bf46c7d6ae35928458ce27250c28c5e0ef9f99ba11a00beeb0b82551d,810,,,,,,,,,
gdp_pc_real_index_2020,Eurostat,nama_10_pc,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc?format=JSON&lang=en&freq=A&unit=CLV_I20_HAB&na_item=B1GQ&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=1995&time=1996&time=1997&time=1998&time=1999&time=2000&time=2001&time=2002&time=2003&time=2004&time=2005&time=2006&time=2007&time=2008&time=2009&time=2010&time=2011&time=2012&time=2013&time=2014&time=2015&time=2016&time=2017&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2026-05-14T07:21:46.291500+00:00,2026-05-13T23:00:00+0200,raw/gdp_pc_real_index_2020.json,raw/gdp_pc_real_index_2020.csv,9851f4af0a02d4f87f96e31b5b1723104cb62114d407197cc16ef15e887a3bae,97be4098554742a24cba15d57b06cb10dc1feb87aa6c1b980291d686c2d66e5f,805,,,,,,,,,
hh_currency_deposits_assets,Eurostat,nasa_10_f_bs,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nasa_10_f_bs?format=JSON&lang=en&freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=ASS&na_item=F2&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=1995&time=1996&time=1997&time=1998&time=1999&time=2000&time=2001&time=2002&time=2003&time=2004&time=2005&time=2006&time=2007&time=2008&time=2009&time=2010&time=2011&time=2012&time=2013&time=2014&time=2015&time=2016&time=2017&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2026-05-14T07:21:46.413772+00:00,2026-05-13T11:00:00+0200,raw/hh_currency_deposits_assets.json,raw/hh_currency_deposits_assets.csv,c305c1a434f038e36d93b0b29fb3162640e8cdb5a0b1418afe54e9f54222014a,af22ef5f205b142ee7af2a8640d0168d19662acfa26ba755d07ee376c6a367c5,803,,,,,,,,,
hh_total_financial_assets,Eurostat,nasa_10_f_bs,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nasa_10_f_bs?format=JSON&lang=en&freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=ASS&na_item=F&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=1995&time=1996&time=1997&time=1998&time=1999&time=2000&time=2001&time=2002&time=2003&time=2004&time=2005&time=2006&time=2007&time=2008&time=2009&time=2010&time=2011&time=2012&time=2013&time=2014&time=2015&time=2016&time=2017&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2026-05-14T07:21:46.536551+00:00,2026-05-13T11:00:00+0200,raw/hh_total_financial_assets.json,raw/hh_total_financial_assets.csv,a3327a4a8778b42c2a394a177c59d752b7d068dba2844006474f86e887078c9b,edb72ffa2367f5d494fc16efbe2a6c3e742ba33feeb9ecfa92b7cbf4af5aa623,803,,,,,,,,,
hh_total_financial_liabilities,Eurostat,nasa_10_f_bs,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nasa_10_f_bs?format=JSON&lang=en&freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=LIAB&na_item=F&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=1995&time=1996&time=1997&time=1998&time=1999&time=2000&time=2001&time=2002&time=2003&time=2004&time=2005&time=2006&time=2007&time=2008&time=2009&time=2010&time=2011&time=2012&time=2013&time=2014&time=2015&time=2016&time=2017&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2026-05-14T07:21:46.722491+00:00,2026-05-13T11:00:00+0200,raw/hh_total_financial_liabilities.json,raw/hh_total_financial_liabilities.csv,d6a9b32ff91592eca00f45f9a4b135415962fa587d1aa23781db7447dfa5ddc2,8c0410a6ceff30fa871a155d7b645c88b5da16ae97d732fa0d274a90d0eedf09,803,,,,,,,,,
oecd_tiva2022_import_content,"OECD TiVA 2025 edition, Principal Indicators shares",OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"https://sdmx.oecd.org/sti-public/rest/data/OECD.STI.PIE,DSD_TIVA_MAINSH@DF_MAINSH,1.1/GFCF_VA_SH+CONS_VA_SH.AUT+BEL+BGR+CYP+CZE+DEU+DNK+ESP+EST+FIN+FRA+GRC+HRV+HUN+IRL+ITA+LTU+LUX+LVA+MLT+NLD+POL+PRT+ROU+SVK+SVN+SWE._T.D..A?startPeriod=1995&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-05-14T07:21:46.809391+00:00,,,raw/oecd_tiva_import_content_gfcf_cons_1995_2022.csv,,2888f52eea685f408aa179926f7c9029c6758c137caf4f2e2a21986bff56d236,1512,2024.000000000,2022.000000000,raw/oecd_tiva_mainsh_domestic_va_shares_gfcf_cons_requested_1995_2024_returned_1995_2022.csv,de41d51da4862f0a9c6494bb0e163948a087c6f3eb74c4182b529f0e10abc469,official_api_returns_1995_2022_for_requested_1995_2024,,,,
tiva_mechanical_carry_forward_2024,Derived by this artifact from OECD TiVA 2025 edition,not an official OECD nowcast dataset,n/a - generated from oecd_tiva_import_content_gfcf_cons_1995_2022.csv,2026-05-14T07:21:46.852907+00:00,,,raw/oecd_tiva_import_content_gfcf_cons_mechanical_cf_1995_2024.csv,,958aea0b8206abf4fa6ace4cd95b4ed45a5860deb4424d4ab2dbaaac3d76e943,1620,,2024.000000000,,,mechanical_carry_forward_2022_to_2024_because_public_oecd_nowcast_has_no_exact_GFCF_CONS_file,,,,
figaro_description_workbook,Eurostat CIRCABC FIGARO 2025 edition,Description_FIGARO_Tables(25ed).xlsx,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/14f61795-5d19-4001-8a3d-6290b946e271/Description_FIGARO_Tables%2825ed%29.xlsx?guest=true,2026-05-14T07:21:47.108635+00:00,,,references/data/figaro/Description_FIGARO_Tables(25ed).xlsx,,e0cac95f7389c21607c21ab1a0cfd671952347385e9f768f8060a9a13b95c9a0,1,,,,,reference_workbook_downloaded,2025-09-30T13:05Z,14f61795-5d19-4001-8a3d-6290b946e271,81364.000000000,
figaro_matrix_industry_by_industry_2010,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2010.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/fc80f855-d144-476e-b4bf-5cfba946819c/matrix_eu-ic-io_ind-by-ind_25ed_2010.csv?guest=true,2026-05-14T07:22:00.977062+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2010.csv,405ad4584ffb79b51ee25213aa488e3779a42972964c04c9285a1a2bc5b0f883,downloaded_to_frozen_raw,2025-07-04T11:13Z,fc80f855-d144-476e-b4bf-5cfba946819c,46367967.000000000,46367967.000000000
figaro_matrix_industry_by_industry_2011,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2011.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/1bcb2624-04ed-43e1-8588-df6680ed352a/matrix_eu-ic-io_ind-by-ind_25ed_2011.csv?guest=true,2026-05-14T07:22:12.986402+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2011.csv,1cd9c6a2176a8e2dc05dd23a5d8c94ddd63f0e1f4b64a5f4a48fff3cd53befb8,downloaded_to_frozen_raw,2025-07-04T11:13Z,1bcb2624-04ed-43e1-8588-df6680ed352a,46887190.000000000,46887190.000000000
figaro_matrix_industry_by_industry_2012,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2012.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/399671ad-cbb3-493e-ad5f-83e989f1eecc/matrix_eu-ic-io_ind-by-ind_25ed_2012.csv?guest=true,2026-05-14T07:22:25.013315+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2012.csv,c1a1642a66423ea72e15bbee3e2012b798c47216ce583e7d90f129598e5f1e99,downloaded_to_frozen_raw,2025-07-04T11:13Z,399671ad-cbb3-493e-ad5f-83e989f1eecc,46923951.000000000,46923951.000000000
figaro_matrix_industry_by_industry_2013,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2013.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/a2b4746d-1d11-4a44-ab1c-50ac956f0849/matrix_eu-ic-io_ind-by-ind_25ed_2013.csv?guest=true,2026-05-14T07:22:36.945937+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2013.csv,f7c230a13a2733381b09cc695cf0221cf1f5b63ccbc85df8ef80939a95bd3dd2,downloaded_to_frozen_raw,2025-07-04T11:13Z,a2b4746d-1d11-4a44-ab1c-50ac956f0849,47146384.000000000,47146384.000000000
figaro_matrix_industry_by_industry_2014,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2014.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/beba57b2-2696-497a-b92f-2a5beca724c7/matrix_eu-ic-io_ind-by-ind_25ed_2014.csv?guest=true,2026-05-14T07:23:30.477935+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2014.csv,d464c4370bcaf03b1f6cb0fbd5e230594cad3a23e0e8241ba196de8196973f36,downloaded_to_frozen_raw,2025-07-04T11:13Z,beba57b2-2696-497a-b92f-2a5beca724c7,47230273.000000000,47230273.000000000
figaro_matrix_industry_by_industry_2015,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2015.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/1a194b8c-6ea1-4bec-9c73-0cd599febcc3/matrix_eu-ic-io_ind-by-ind_25ed_2015.csv?guest=true,2026-05-14T07:23:42.592426+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2015.csv,116561cf9293a6a9517941edfa35eb8523fa5123976f1f5ffdb51bf7b38122bf,downloaded_to_frozen_raw,2025-07-04T11:13Z,1a194b8c-6ea1-4bec-9c73-0cd599febcc3,47502201.000000000,47502201.000000000
figaro_matrix_industry_by_industry_2016,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2016.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/2cdd74fc-0bce-4ae0-8bf2-34d34546d86d/matrix_eu-ic-io_ind-by-ind_25ed_2016.csv?guest=true,2026-05-14T07:23:54.709915+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2016.csv,270406c6135dab2a7e617f2c768514deb820050989ab9c0285647bff7544e2ae,downloaded_to_frozen_raw,2025-07-04T11:13Z,2cdd74fc-0bce-4ae0-8bf2-34d34546d86d,47557900.000000000,47557900.000000000
figaro_matrix_industry_by_industry_2017,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2017.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/4a11c796-4186-4cce-a02f-12d353fc5e59/matrix_eu-ic-io_ind-by-ind_25ed_2017.csv?guest=true,2026-05-14T07:24:06.760833+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2017.csv,74931e1858402521a0686e0e25a2ff4a154ecc095888d955b68bb944fbb158be,downloaded_to_frozen_raw,2025-07-04T11:13Z,4a11c796-4186-4cce-a02f-12d353fc5e59,47977624.000000000,47977624.000000000
figaro_matrix_industry_by_industry_2018,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2018.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/7a57a374-2200-498c-bb5f-cee24202b0b8/matrix_eu-ic-io_ind-by-ind_25ed_2018.csv?guest=true,2026-05-14T07:24:18.952750+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2018.csv,bc74093c7697d41dadcc8a3843e74bc29405a77099327219c46e641f0109222c,downloaded_to_frozen_raw,2025-07-04T11:13Z,7a57a374-2200-498c-bb5f-cee24202b0b8,48167109.000000000,48167109.000000000
figaro_matrix_industry_by_industry_2019,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2019.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/c3467617-8a00-44a0-9b6b-ccad8a2ab58d/matrix_eu-ic-io_ind-by-ind_25ed_2019.csv?guest=true,2026-05-14T07:25:16.988666+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2019.csv,18d74ae62160eea2c9e295b64696dc9f1c6f7f2620378592b73951bbea397e6e,downloaded_to_frozen_raw,2025-07-04T11:13Z,c3467617-8a00-44a0-9b6b-ccad8a2ab58d,48376535.000000000,48376535.000000000
figaro_matrix_industry_by_industry_2020,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2020.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/4df668e1-2a8a-4e84-ae57-00309d8bc760/matrix_eu-ic-io_ind-by-ind_25ed_2020.csv?guest=true,2026-05-14T07:25:28.978439+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2020.csv,48b0db2a23ae04204cbec3c611e0a4359ca0dd2e22fcd8b7de9fbc578e2d7636,downloaded_to_frozen_raw,2025-07-04T11:13Z,4df668e1-2a8a-4e84-ae57-00309d8bc760,47795207.000000000,47795207.000000000
figaro_matrix_industry_by_industry_2021,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2021.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/6736dea8-da14-450f-b212-a791baf238c8/matrix_eu-ic-io_ind-by-ind_25ed_2021.csv?guest=true,2026-05-14T07:26:31.549522+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2021.csv,29f8530406a2e8df9912f1e924a091c88460824d33372a671f498beb4a12f844,downloaded_to_frozen_raw,2025-07-04T11:13Z,6736dea8-da14-450f-b212-a791baf238c8,48394661.000000000,48394661.000000000
figaro_matrix_industry_by_industry_2022,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2022.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/b20c339d-984f-413c-a499-54ff76beb90c/matrix_eu-ic-io_ind-by-ind_25ed_2022.csv?guest=true,2026-05-14T07:27:43.786967+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2022.csv,2aa2bea210c830a61f946dc16f9aaef0e0123f666f8cec77cffec19132b99859,downloaded_to_frozen_raw,2025-07-04T11:13Z,b20c339d-984f-413c-a499-54ff76beb90c,49131227.000000000,49131227.000000000
figaro_matrix_industry_by_industry_2023,Eurostat CIRCABC FIGARO 2025 edition,matrix_eu-ic-io_ind-by-ind_25ed_2023.csv,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/21557f49-1e94-431c-8523-d972fec020b8/matrix_eu-ic-io_ind-by-ind_25ed_2023.csv?guest=true,2026-05-14T07:27:56.221668+00:00,,,,,,3206,,,raw/figaro_matrix_csv/matrix_eu-ic-io_ind-by-ind_25ed_2023.csv,4c0710f08b7a070dbcadf0d5540b34fa89e161873b0a85196690f6887278d6d9,downloaded_to_frozen_raw,2025-07-04T11:13Z,21557f49-1e94-431c-8523-d972fec020b8,49195916.000000000,49195916.000000000
figaro2023_import_content_processed,Derived by this artifact from Eurostat FIGARO 2025 industry-by-industry IO matrices,processed GFCF_VA_SH/CONS_VA_SH foreign value-added shares,n/a - derived file,2026-05-14T07:27:56.384952+00:00,,,raw/figaro2023_import_content_gfcf_cons_2010_2023.csv,,8c1a90f439f0203ed21711e4e1990819acf401331b0b0a84457fa285498a20f0,756,,2023.000000000,,,processed,,,,
figaro_published_foreign_gva_domestic_final_use_2023_validation,Eurostat CIRCABC FIGARO macroeconomic globalisation indicators 2025 edition,foreign-gva_domestic-final-use_25ed_2023.parquet,https://circabc.europa.eu/service/api/node/content/workspace/SpacesStore/9ba93000-c082-4ee6-bcf2-155eb70d2a15/foreign-gva_domestic-final-use_25ed_2023.parquet?guest=true,2026-05-14T07:27:57.351569+00:00,,,,,,1,,,,9275308a3b8e54f44071c232632e78cff8a8459119eadd3dceb3ecfa7a21ed33,validation_input_downloaded,2025-07-09T16:18Z,9ba93000-c082-4ee6-bcf2-155eb70d2a15,673146.000000000,
